Varga,Varga_Name,Giver,Receiver,Is_Diagonal,Raw_Text,Value_1,Color_1,Value_2,Color_2,Vimsho_Score,Net_Modifier
D9,Navamsa,Saturn,Saturn,True,13.5,13.5,K,,,13.5,3.7
D10,Dasamsa,Sun,Sun,True,11.3,11.3,K,,,11.3,26.8
D10,Dasamsa,Sun,Moon,False,0.1[G],0.1,G,,,,51.0
D10,Dasamsa,Sun,Mars,False,1.0[G],1.0,G,,,,103.3
D10,Dasamsa,Sun,Mercury,False,47.3[G],47.3,G,,,,42.1
D10,Dasamsa,Sun,Jupiter,False,,,,,,,95.8
D10,Dasamsa,Sun,Venus,False,,,,,,,-14.4
D10,Dasamsa,Sun,Saturn,False,2.0[R],2.0,R,,,,3.9
D10,Dasamsa,Moon,Sun,False,8.7[G],8.7,G,,,,26.8
D10,Dasamsa,Moon,Moon,True,15.8,15.8,K,,,15.8,51.0
D10,Dasamsa,Moon,Mars,False,44.5[G],44.5,G,,,,103.3
D10,Dasamsa,Moon,Mercury,False,5.2[R],5.2,R,,,,42.1
D10,Dasamsa,Moon,Jupiter,False,35.1[G],35.1,G,,,,95.8
D10,Dasamsa,Moon,Venus,False,14.4[R],14.4,R,,,,-14.4
D10,Dasamsa,Moon,Saturn,False,18.8[R],18.8,R,,,,3.9
D10,Dasamsa,Mars,Sun,False,10.8[G],10.8,G,,,,26.8
D10,Dasamsa,Mars,Moon,False,,,,,,,51.0
D10,Dasamsa,Mars,Mars,True,14.8*2,14.8,K,,,14.8*2,103.3
D10,Dasamsa,Mars,Mercury,False,,,,,,,42.1
D10,Dasamsa,Mars,Jupiter,False,35.1[G],35.1,G,,,,95.8
D10,Dasamsa,Mars,Venus,False,,,,,,,-14.4
D10,Dasamsa,Mars,Saturn,False,16.7[R],16.7,R,,,,3.9
D10,Dasamsa,Mercury,Sun,False,,,,,,,26.8
D10,Dasamsa,Mercury,Moon,False,3.6[G],3.6,G,,,,51.0
D10,Dasamsa,Mercury,Mars,False,1.5[R],1.5,R,,,,103.3
D10,Dasamsa,Mercury,Mercury,True,15.8,15.8,K,,,15.8,42.1
D10,Dasamsa,Mercury,Jupiter,False,1.0[R],1.0,R,,,,95.8
D10,Dasamsa,Mercury,Venus,False,2.2[G],2.2,G,,,,-14.4
D10,Dasamsa,Mercury,Saturn,False,,,,,,,3.9
D10,Dasamsa,Jupiter,Sun,False,7.3[G],7.3,G,,,,26.8
D10,Dasamsa,Jupiter,Moon,False,47.3[G],47.3,G,,,,51.0
D10,Dasamsa,Jupiter,Mars,False,44.5[G],44.5,G,,,,103.3
D10,Dasamsa,Jupiter,Mercury,False,,,,,,,42.1
D10,Dasamsa,Jupiter,Jupiter,True,11.7,11.7,K,,,11.7,95.8
D10,Dasamsa,Jupiter,Venus,False,,,,,,,-14.4
D10,Dasamsa,Jupiter,Saturn,False,,,,,,,3.9
D10,Dasamsa,Venus,Sun,False,,,,,,,26.8
D10,Dasamsa,Venus,Moon,False,,,,,,,51.0
D10,Dasamsa,Venus,Mars,False,,,,,,,103.3
D10,Dasamsa,Venus,Mercury,False,,,,,,,42.1
D10,Dasamsa,Venus,Jupiter,False,8.5[R],8.5,R,,,,95.8
D10,Dasamsa,Venus,Venus,True,15.2,15.2,K,,,15.2,-14.4
D10,Dasamsa,Venus,Saturn,False,41.3[G],41.3,G,,,,3.9
D10,Dasamsa,Saturn,Sun,False,,,,,,,26.8
D10,Dasamsa,Saturn,Moon,False,,,,,,,51.0
D10,Dasamsa,Saturn,Mars,False,,,,,,,103.3
D10,Dasamsa,Saturn,Mercury,False,,,,,,,42.1
D10,Dasamsa,Saturn,Jupiter,False,,,,,,,95.8
D10,Dasamsa,Saturn,Venus,False,14.4[R],14.4,R,,,,-14.4
D10,Dasamsa,Saturn,Saturn,True,13.8,13.8,K,,,13.8,3.9
D12,Dvadasamsa,Sun,Sun,True,7.6,7.6,K,,,7.6,18.0
D12,Dvadasamsa,Sun,Moon,False,0.1[G],0.1,G,,,,46.0
D12,Dvadasamsa,Sun,Mars,False,1.0[G],1.0,G,,,,98.3
D12,Dvadasamsa,Sun,Mercury,False,49.5[G],49.5,G,,,,45.3
D12,Dvadasamsa,Sun,Jupiter,False,,,,,,,94.8
D12,Dvadasamsa,Sun,Venus,False,,,,,,,-14.1
D12,Dvadasamsa,Sun,Saturn,False,,,,,,,3.7
D12,Dvadasamsa,Moon,Sun,False,5.8[G],5.8,G,,,,18.0
D12,Dvadasamsa,Moon,Moon,True,14.2,14.2,K,,,14.2,46.0
D12,Dvadasamsa,Moon,Mars,False,42.5[G],42.5,G,,,,98.3
D12,Dvadasamsa,Moon,Mercury,False,4.2[R],4.2,R,,,,45.3
D12,Dvadasamsa,Moon,Jupiter,False,34.8[G],34.8,G,,,,94.8
D12,Dvadasamsa,Moon,Venus,False,14.1[R],14.1,R,,,,-14.1
D12,Dvadasamsa,Moon,Saturn,False,19.5[R],19.5,R,,,,3.7
D12,Dvadasamsa,Mars,Sun,False,7.2[G],7.2,G,,,,18.0
D12,Dvadasamsa,Mars,Moon,False,,,,,,,46.0
D12,Dvadasamsa,Mars,Mars,True,14.2*2,14.2,K,,,14.2*2,98.3
D12,Dvadasamsa,Mars,Mercury,False,,,,,,,45.3
D12,Dvadasamsa,Mars,Jupiter,False,34.8[G],34.8,G,,,,94.8
D12,Dvadasamsa,Mars,Venus,False,,,,,,,-14.1
D12,Dvadasamsa,Mars,Saturn,False,17.3[R],17.3,R,,,,3.7
D12,Dvadasamsa,Mercury,Sun,False,,,,,,,18.0
D12,Dvadasamsa,Mercury,Moon,False,3.3[G],3.3,G,,,,46.0
D12,Dvadasamsa,Mercury,Mars,False,1.7[R],1.7,R,,,,98.3
D12,Dvadasamsa,Mercury,Mercury,True,16.5,16.5,K,,,16.5,45.3
D12,Dvadasamsa,Mercury,Jupiter,False,1.0[R],1.0,R,,,,94.8
D12,Dvadasamsa,Mercury,Venus,False,2.2[G],2.2,G,,,,-14.1
D12,Dvadasamsa,Mercury,Saturn,False,,,,,,,3.7
D12,Dvadasamsa,Jupiter,Sun,False,4.9[G],4.9,G,,,,18.0
